timestamp,picker_id
2024-01-11 19:43:00,3
2024-01-18 19:22:00,3
2024-01-25 19:12:00,3
2024-01-29 19:14:00,3
2024-02-05 19:06:00,3
2024-02-05 19:23:00,3
2024-02-06 19:25:00,3
2024-02-10 19:03:00,3
2024-02-11 19:36:00,3
2024-02-14 19:06:00,4
2024-03-01 19:49:00,3
2024-03-03 19:40:00,3
2024-03-09 19:36:00,3
2024-03-15 19:45:00,3
2024-03-28 19:35:00,3
2024-03-30 19:30:00,3
2024-04-07 19:07:00,3
2024-04-16 19:19:00,3
2024-04-17 19:50:00,3
2024-04-20 19:27:00,3
2024-04-28 19:45:00,3
2024-05-03 19:28:00,3
2024-05-03 19:49:00,3
2024-05-10 19:55:00,3
2024-05-16 19:51:00,3
2024-05-22 19:47:00,3
2024-05-31 19:55:00,3
2024-06-09 19:26:00,5
2024-06-13 19:52:00,4
2024-06-22 19:33:00,4
2024-06-25 19:10:00,3
2024-06-26 19:31:00,3
2024-07-01 19:58:00,3
2024-07-02 19:28:00,3
2024-07-04 19:10:00,3
2024-07-09 19:52:00,3
2024-07-10 19:33:00,3
2024-07-14 19:26:00,3
2024-07-17 19:43:00,4
2024-08-03 19:30:00,3
2024-08-17 19:06:00,3
2024-08-22 19:21:00,3
2024-09-28 19:55:00,3
2024-10-29 19:04:00,3
2024-11-01 19:25:00,3
2024-11-02 19:31:00,3
2024-11-07 19:04:00,3
2024-11-07 19:06:00,3
2024-11-08 19:04:00,3
2024-11-23 19:42:00,4
2024-12-06 19:14:00,3
2024-12-18 19:56:00,3
2024-12-21 19:19:00,3
2025-01-08 19:17:00,3
2025-01-16 19:19:00,3
2025-01-31 19:16:00,3
2025-02-07 19:37:00,3
2025-02-19 19:21:00,3
2025-03-02 19:56:00,3
2025-03-16 19:59:00,3
2025-03-17 19:28:00,3
2025-03-19 19:43:00,3
2025-03-20 19:09:00,3
2025-03-23 19:44:00,3
2025-04-01 19:53:00,3
2025-04-13 19:01:00,4
2025-04-15 19:20:00,3
2025-04-15 19:30:00,3
2025-05-01 19:47:00,3
2025-05-02 19:43:00,3
2025-05-05 19:27:00,3
2025-05-15 19:03:00,3
2025-05-31 19:08:00,4
2025-06-01 19:47:00,3
2025-06-06 19:57:00,3
2025-06-07 19:03:00,3
2025-06-07 19:46:00,3
2025-06-14 19:36:00,3
2025-06-28 19:32:00,3
2025-07-02 19:17:00,4
2025-07-05 19:16:00,3
2025-07-07 19:46:00,3
2025-07-12 19:07:00,3
2025-07-12 19:34:00,3
2025-07-13 19:48:00,3
2025-07-20 19:19:00,3
2025-08-06 19:07:00,3
2025-08-12 19:53:00,3
2025-08-19 19:27:00,3
2025-08-21 19:04:00,3
2025-09-02 19:24:00,3
2025-09-13 19:54:00,3
2025-09-14 19:19:00,3
2025-09-19 19:41:00,3
2025-09-21 19:52:00,3
